Date,Weight,BodyFat
2021-06-15,177.5,0
2021-06-16,175.6,0
2021-06-17,176,0
2021-06-18,176.8,0
2021-06-19,175.8,0
2021-06-20,178,0
2021-06-21,179.2,0
2021-06-22,179,0
2021-06-23,176.8,0
2021-06-24,175.8,0
2021-06-25,176,0
2021-06-26,175.6,0
2021-06-27,176,0
2021-06-28,177.2,0
2021-06-29,176.2,0
2021-06-30,181.2,0
2021-07-01,176.6,0
2021-07-02,178.6,0
2021-07-03,176.8,0
2021-07-04,178.2,0
2021-07-05,182.8,0
2021-07-06,180,0
2021-07-07,179,0
2021-07-08,178.2,0
2021-07-09,183.2,0
2021-07-10,176.2,0
2021-07-11,181.2,0
2021-07-14,178.9,0
2021-07-15,176.6,0
2021-07-16,176.8,0
2021-07-17,177.8,0
2021-07-18,178.4,0
2021-07-19,177.2,0
2021-07-20,181,0
2021-07-21,179.6,0
2021-07-22,176.8,0
2021-07-23,176.6,0
2021-07-24,179.2,0
2021-07-25,176.2,0
2021-07-26,176.8,0
2021-07-27,179.2,0
2021-07-28,178.8,0
2021-07-29,178.2,0
2021-07-30,178.8,0
2021-07-31,180,0
2021-08-01,178,0
2021-08-02,181.1,0
2021-08-03,180.8,12.1
2021-08-04,180.2,12.1
2021-08-05,177.8,12.4
2021-08-06,178.8,12.3
2021-08-07,176.2,11.7
2021-08-08,177,12.6
2021-08-09,176.8,12.5
2021-08-10,177.6,11.3
2021-08-11,179,10.8
2021-08-12,177.2,11.6
2021-08-13,176.4,11.5
2021-08-14,175.6,11.7
2021-08-15,175.6,10.3
2021-08-16,179,10.3
2021-08-17,177.2,10.6
2021-08-18,178.4,10.6
2021-08-19,176.6,11.8
2021-08-20,176.2,13.5
2021-08-21,176,11.7
2021-08-22,172.6,11.6
2021-08-23,174.6,11.1
2021-08-24,174.2,12.2
2021-08-25,177.8,12
2021-08-26,175.6,12
2021-08-27,175.4,11
2021-08-28,174.8,12.2
2021-08-29,176.2,11.1
2021-08-30,177.2,10.5
2021-08-31,174.8,11.7
2021-09-01,174,13
2021-09-02,172.4,12.5
2021-09-03,174,12
2021-09-04,176,11.5
2021-09-05,176,10.9
2021-09-06,178.6,9.9
2021-09-07,178.2,11.5
2021-09-08,174,12.5
2021-09-09,174.4,11.1
2021-09-10,174.2,12.8
2021-09-11,173.4,14
2021-09-12,168.9,13
2021-09-13,171.8,12
2021-09-14,173.4,12.6
2021-09-15,173.2,11.6
2021-09-16,172.8,12
2021-09-17,174,12
2021-09-18,174.2,12.2
2021-09-19,173.2,12
2021-09-20,176,11.9
2021-09-21,176.9,11.3
2021-09-22,176.8,13.1
2021-09-23,175,12.2
2021-09-24,174.4,13
2021-09-25,173.8,11.9
2021-09-26,173.6,11.7
2021-09-27,174.2,11.7
2021-09-28,179.2,11.8
2021-09-29,174,12.8
2021-09-30,173.6,12.7
2021-10-01,172.2,14.2
2021-10-02,173.4,12.8
2021-10-03,174.8,12.4
2021-10-04,177.6,13.1
2021-10-05,178.4,12.2
2021-10-06,175.6,13
2021-10-07,178.4,12.4
2021-10-08,177.8,12.5
2021-10-09,175.8,12.5
2021-10-10,174.2,13.1
2021-10-11,175.4,12.8
2021-10-12,174.2,13.2
2021-10-13,173.8,13.6
2021-10-14,174.8,13
2021-10-15,175.8,12.6
2021-10-16,174.6,14.2
2021-10-17,178,13.2
2021-10-18,175.6,12.4
2021-10-19,176.2,12
2021-10-20,173.6,12.8
2021-10-21,176.4,12.5
2021-10-22,175.4,13.6
2021-10-23,174.4,13
2021-10-24,173.4,13.1
2021-10-25,175,12.8
2021-10-26,176,12.1
2021-10-27,176,12.7
2021-10-28,176.4,13.1
2021-10-29,175.8,13.1
2021-10-30,175,12.8
2021-10-31,175.6,11
2021-11-01,175.6,11.1
2021-11-02,174.6,12.5
2021-11-03,175.4,13.5
2021-11-04,175,13.3
2021-11-05,174.2,13.8
2021-11-06,173.4,13.4
2021-11-07,174.2,12
2021-11-08,175,12.8
2021-11-09,179.2,13.4
2021-11-10,175,13.5
2021-11-11,175.8,13.5
2021-11-12,176.6,12.5
2021-11-13,176.4,13.1
2021-11-14,174.6,12.8
2021-11-15,173.4,12.8
2021-11-16,174,13.8
2021-11-17,173.8,14.1
2021-11-18,173.6,12.4
2021-11-19,173.8,13
2021-11-20,172.2,14.7
2021-11-21,172,13.1
2021-11-22,174.2,12.4
2021-11-23,173.8,13.2
2021-11-24,175,13.8
2021-11-25,174.2,12.7
2021-11-26,177.2,12
2021-11-27,178.8,12
2021-11-28,176.2,12.7
2021-11-29,176.6,11.8
2021-11-30,176.8,12.4
2021-12-01,177,12.5
2021-12-02,175.8,13.6
2021-12-03,176,13.7
2021-12-04,177,13.1
2021-12-05,175.8,12
2021-12-06,176.6,12.4
2021-12-07,177,12.9
2021-12-08,174.8,14.1
2021-12-09,175.4,14.4
2021-12-10,175,14
2021-12-11,174.8,14.8
2021-12-12,176.6,12.4
2021-12-13,177.2,12
2021-12-14,176.2,12.5
2021-12-15,178,12.6
2021-12-16,177.6,12.7
2021-12-17,177,13.6
2021-12-18,177.6,12.7
2021-12-19,178.6,11.6
2021-12-20,178.2,12.3
2021-12-21,174,11.9
2021-12-22,176.8,11.9
2021-12-23,178.4,12.6
2021-12-24,177.6,13.4
2021-12-25,177.8,12.1
2021-12-26,182.6,9.7
2021-12-27,182.8,12.6
2021-12-28,180,12.6
2021-12-29,179.6,12.1
2021-12-30,181,11.2
2021-12-31,178,12.2
2022-01-01,178,11.1
2022-01-02,182.2,11.4
2022-01-03,182.6,11.8
2022-01-04,180.2,11.8
2022-01-05,181,12.3
2022-01-06,180.8,11.8
2022-01-07,182.2,11.3
2022-01-08,185,11.2
2022-01-09,181.2,12.7
2022-01-10,181.8,13.5
2022-01-11,180.8,13.6
2022-01-12,180.2,13.2
2022-01-13,179.8,12.7
2022-01-14,182.2,13.4
2022-01-15,180.6,13.6
2022-01-16,182.8,11
2022-01-17,185.8,10.9
2022-01-18,182.8,14.2
2022-01-19,180.2,13
2022-01-20,179.6,12.5
2022-01-21,181,13.3
2022-01-22,183,11.2
2022-01-23,180.6,11.9
2022-01-24,181.2,13.8
2022-01-25,180.6,14.6
2022-01-26,182.4,13.7
2022-01-27,179.6,13
2022-01-28,180,13.2
2022-01-29,181.2,12.9
2022-01-30,181.4,13
2022-01-31,180.2,13.2
2022-02-01,179.8,14.4
2022-02-02,181.4,13.3
2022-02-03,178.8,13.9
2022-02-04,180.2,13.1
2022-02-05,181.2,12.3
2022-02-06,176.6,13.8
2022-02-07,178.4,14.8
2022-02-08,179.6,12.2
2022-02-09,181.2,12.8
2022-02-10,180.6,14.1
2022-02-11,179.2,13.5
2022-02-12,178.8,14.7
2022-02-13,176.8,14.5
2022-02-14,179.2,13.8
2022-02-15,179.3,13.8
2022-02-16,180,13.1
2022-02-17,178.8,14.5
2022-02-18,177.6,15.8
2022-02-19,178,14.5
2022-02-20,179.8,13.9
2022-02-21,177.6,13.8
2022-02-22,178.8,15.6
2022-02-23,178.4,15.3
2022-02-24,178,14.1
2022-02-25,178.2,14.9
2022-02-26,178.4,14.7
2022-02-27,178,15.1
2022-02-28,180,13.7
2022-03-01,178.6,16
2022-03-02,178,14.9
2022-03-03,178.4,14.3
2022-03-04,178.8,14
2022-03-05,180.6,14.1
2022-03-06,180.8,12.8
2022-03-07,179.8,14.1
2022-03-08,178.4,15.4
2022-03-09,176.8,15.1
2022-03-10,179,14.3
2022-03-11,179.8,14.3
2022-03-12,178.6,14.2
2022-03-13,180.2,13.7
2022-03-14,179,15.2
2022-03-15,179,14
2022-03-16,178.6,14
2022-03-17,177.6,11.8
2022-03-18,179.2,13.3
2022-03-19,177.2,15.2
2022-03-20,177.2,15.1
2022-03-21,177,15.3
2022-03-22,176.8,15.3
2022-03-23,176.6,14.9
2022-03-24,177.8,14.9
2022-03-25,176.8,15.4
2022-03-26,178.6,14.6
2022-03-27,178.2,14.2
2022-03-28,178.8,14.9
2022-03-29,179.6,14.5
2022-03-30,181.8,13.2
2022-03-31,180.6,14.5
2022-04-01,178.8,14.6
2022-04-02,178.85,13.7
2022-04-03,183.6,10.7
2022-04-04,181.8,13.6
2022-04-05,181.4,13.1
2022-04-06,180.2,15.2
2022-04-07,181.2,13.3
2022-04-08,181.8,13.7
2022-04-09,179.8,14.3
2022-04-10,181.4,12.9
2022-04-11,182.2,13
2022-04-12,178.4,15.3
2022-04-13,177.6,17
2022-04-14,177.8,16.4
2022-04-15,178.2,14.3
2022-04-16,181.2,15.9
2022-04-17,181.8,12.8
2022-04-18,183,13.3
2022-04-19,180,15
2022-04-20,180.6,13.2
2022-04-21,180.6,13.4
2022-04-22,180.6,14.3
2022-04-23,180.6,14.1
2022-04-24,180.8,12.8
2022-04-25,181.4,12.6
2022-04-26,181,15.1
2022-04-27,178.6,16
2022-04-28,179.8,15.3
2022-04-29,180.2,14.4
2022-04-30,180.8,14.2
2022-05-01,180.6,12.9
2022-05-02,182.4,12.8
2022-05-03,181.4,14.3
2022-05-04,180.8,14.5
2022-05-05,180.8,15
2022-05-06,180.8,15.2
2022-05-07,181.8,14.4
2022-05-08,182.8,13.3
2022-05-09,184.2,12.2
2022-05-10,180.4,14.4
2022-05-11,179,14.9
2022-05-12,179.8,15.5